character,pronunciation,romaji,type,audio_url
ア,"""ahh""",a,katakana,https://0.tqn.com/z/g/japanese/library/media/audio/a.mp3
イ,"like ""e"" in ""eat""",i,katakana,
ウ,"like ""oo"" in ""food""",u,katakana,
エ,"like ""e"" in ""bed""",e,katakana,
オ,"""oh""",o,katakana,
カ,"""kah"" ",ka,katakana,
キ,"""kee""",ki,katakana,
ク,"""koo"" ",ku,katakana,
ケ,"like ""ke"" in ""ketchup""",ke,katakana,
コ,"like ""co"" in ""coat""",ko,katakana,
ガ,"""gah"" like ""ga"" in ""gallbladder""",ga,katakana,
ギ,"""gee"" like ""gee"" in ""geese""",gi,katakana,
グ,"""goo"" like ""goo"" in ""goon""",gu,katakana,
ゲ,"""geh"" like ""ge"" in ""get""",ge,katakana,
ゴ,"""goh"" like ""go""",go,katakana,
サ,"""sah"" like ""Saw""",sa,katakana,
シ,"""shee"" like ""She""",shi,katakana,
ス,"""soo"" like ""Sue""",su ,katakana,
セ,"like ""se"" in ""set""",se,katakana,
ソ,"""soh""",so,katakana,
ザ,"""zah"" like ""zo"" in ""zombie""",za,katakana,
ジ,"""jee"" like ""ge"" in ""genius""",ji,katakana,
ズ,"""zoo"" like ""zoo""",zu,katakana,
ゼ,"""zeh"" like ""ze"" in ""zest""",ze,katakana,
ゾ,"""zoh"" like ""zo"" in ""zone""",zo,katakana,
タ,"like ""ta"" in ""tall""",ta,katakana,
チ,"like ""che"" in ""cheat""",chi,katakana,
ツ,"like ""tzu"" in ""shih tzu""",tsu,katakana,
テ,"like ""te"" in ""tell""",te,katakana,
ト,"""toh"" like ""toe""",to,katakana,
ダ,"""dah"" like ""da"" in ""daunting""",da,katakana,
ヂ,same as じ,ji,katakana,
ヅ,same as ず,zu,katakana,
デ,"""deh"" like ""de"" in ""dent""",de,katakana,
ド,"""doh"" like ""dough""",do,katakana,
ナ,"""nah"" like ""no"" in ""not""",na,katakana,
ニ,"like ""nee"" in ""knee""",ni,katakana,
ヌ,"""noo"" like ""new""",nu,katakana,
ネ,"""neh"" like ""ne"" in ""net""",ne,katakana,
ノ,"""noh"" like ""no""",no,katakana,
ハ,"like ""ha"" in haunt",ha,katakana,
ヒ,"""hee"" like ""he""",hi,katakana,
フ,"""foo""",fu,katakana,
ヘ,"""heh"" like ""he"" in ""head""",he,katakana,
ホ,"""hoh"" like ""hoe""",ho,katakana,
バ,"""bah"" like ""ba"" in ""ball""",ba,katakana,
ビ,"""bee""",bi,katakana,
ブ,"""boo"" like ""boo"" in ""boot""",bu,katakana,
ベ,"""beh"" like ""be"" in ""bed""",be,katakana,
ボ,"""boh"" like ""bo"" in ""boat""",bo,katakana,
パ,"""pah"" like ""po"" in ""pond""",pa,katakana,
ピ,"""pee"" like ""pea"" in ""peace""",pi,katakana,
プ,"""poo"" like ""poo"" in ""pool""",pu,katakana,
ペ,"""peh"" like ""pe"" in ""pen""",pe,katakana,
ポ,"""poh"" like ""poe""",po,katakana,
マ,"""mah"" like ""ma"" in ""mall""",ma,katakana,
ミ,"""mee"" like ""me""",mi,katakana,
ム,"""moo"" like ""moo"" in ""mood",mu ,katakana,
メ,"""meh"" like ""me"" in ""met""",me,katakana,
モ,"""moh"" like ""mo"" in ""most""",mo,katakana,
ヤ,"""yah"" like ""ya"" in ""yacht""",ya,katakana,
ユ,"""yoo"" like ""you""",yu,katakana,
ヨ,"""yoh"" like ""yo"" in ""yoke""",yo,katakana,
ラ,"""rah""",ra,katakana,
リ,"""ree""",ri,katakana,
ル,"""roo""",ru,katakana,
レ,"""reh""",re,katakana,
ロ,"""roh""",ro,katakana,
ワ,"""wa"" like ""wa"" in ""want""",wa,katakana,
ヲ,"""wo"" as in ""won't"" or ""o"" as in ""oat""",(w)o,katakana,
ン,"""n"" ",n/m,katakana,
