phrase,romaji,translation,type,notes,audio_url
こんにちわ,konnichiwa,hello,Hiragana ,,
おはようございます,ohayou gozaimasu,good morning,Hiragana ,,
こんばんわ,konnbanwa,good evening,Hiragana ,,
さようなら,sayounara,goodbye ,Hiragana ,taught in japanese textbook but is almost never used. Never see you again,
じゃあね,jaane,see you,Hiragana ,,
ありがとう(informal),arigatou,thank you,Hiragana ,,
/ ありがとうございます(formal),arigatou gozaimasu,thank you very much,Hiragana ,use for strangers,
すみません,sumimasen,excuse me / sorry,Hiragana ,very commonly used,
ごめんなさい,gomennasai,sorry,Hiragana ,,
おねがいします,onegaishimasu,please,Hiragana ,,
いいえ,iie,no,Hiragana ,not commonly used,
いや / ちがう/ ううん,iya / chigau / uun,no / different / casual no,Hiragana ,more commonly used to say no,
はい,hai,yes,Hiragana ,,
,,,Hiragana ,,
,,,Hiragana ,,
,,,Hiragana ,,
,,,Hiragana ,,
,,,Hiragana ,,
,,,Hiragana ,,
,,,Hiragana ,,
,,,Hiragana ,,
,,,Hiragana ,,
,,,Hiragana ,,
,,,Hiragana ,,
,,,Hiragana ,,
,,,Hiragana ,,
,,,Hiragana ,,
,,,Hiragana ,,
,,,Hiragana ,,
,,,Hiragana ,,
,,,Hiragana ,,
,,,Hiragana ,,
,,,Hiragana ,,
,,,Hiragana ,,
,,,Hiragana ,,
,,,Hiragana ,,
,,,Hiragana ,,
,,,Hiragana ,,
,,,Hiragana ,,
,,,Hiragana ,,
,,,Hiragana ,,
,,,Hiragana ,,
,,,Hiragana ,,
,,,Hiragana ,,
,,,Hiragana ,,
,,,Hiragana ,,
,,,Hiragana ,,
,,,Hiragana ,,
,,,Hiragana ,,
,,,Hiragana ,,
,,,Hiragana ,,
,,,Hiragana ,,
,,,Hiragana ,,
,,,Hiragana ,,
,,,Hiragana ,,
,,,Hiragana ,,
,,,Hiragana ,,
,,,Hiragana ,,
,,,Hiragana ,,
,,,Hiragana ,,
,,,Hiragana ,,
,,,Hiragana ,,
,,,Hiragana ,,
,,,Hiragana ,,
,,,Hiragana ,,
,,,Hiragana ,,
,,,Hiragana ,,
,,,Hiragana ,,
,,,Hiragana ,,
,,,Hiragana ,,
,,,Hiragana ,,
